Date;Hour;WS01;WS02;WS03;WS04;WS05;WS06;WS07;WS08;WS09;WS10;WS11;WS12;WS13;WS14;WS15;WS16;WS17;WS18;WS19;WS20;WS21;WS22;WS23;WS24;WS25;WS26;WS27;WS28;WS29;WS30;WS31;WS32;WS33;WS34;WS35;WS36
01.01.;11;0.178663569;0.298118963;0.150269945;0.380778113;0.365457883;0.378038797;0.145827932;0.206136506;0.385756446;0.472967338;0.575970811;0.096123514;0.076244735;0.832770896;0.169380203;0.442535887;0.018359215;0.38247149;0.789399312;0.037524236;0.507247154;0.171064399;0.800083042;0.139326556;0.456343926;0.229184014;0.480103362;0.361077355;0.322362196;0.420445716;0.658873656;0.467528976;0.126345054;0.410028142;0.083570923;0.611879199
01.01.;12;0.183417758;0.257095468;0.143381979;0.337854807;0.333166622;0.331467607;0.141191663;0.194376989;0.362038507;0.394929598;0.483642695;0.076182002;0.070278613;0.834908056;0.142873819;0.454579188;0.017962425;0.314198771;0.779624936;0.029676128;0.455555342;0.168382389;0.777069157;0.118037454;0.395492364;0.187877041;0.417127533;0.315921588;0.280086566;0.354514172;0.578795301;0.418014214;0.130660311;0.37439987;0.071417027;0.565152628
01.01.;13;0.214819656;0.258182274;0.162703;0.355495513;0.321034158;0.314179955;0.145950021;0.209402042;0.37454732;0.357561954;0.449503694;0.076314262;0.072332446;0.839882897;0.126482842;0.476379165;0.020210947;0.285680755;0.785982811;0.031172576;0.447150754;0.172953457;0.77637005;0.10995367;0.379866273;0.174094195;0.398478524;0.31475414;0.288820384;0.332216563;0.539641376;0.420077201;0.148195542;0.385903367;0.071452535;0.572695281
01.01.;14;0.261969964;0.279332844;0.19009788;0.424901601;0.301121899;0.284572171;0.144933279;0.225617071;0.386530269;0.317271425;0.450834574;0.084376556;0.074249158;0.838748693;0.103009172;0.447022064;0.022936823;0.255293534;0.791910839;0.03256005;0.442995513;0.15432948;0.76802725;0.104786798;0.370003342;0.163940514;0.390386457;0.331232617;0.320514711;0.324053764;0.498744633;0.431099785;0.165675262;0.4033015;0.076800965;0.590566637
01.01.;15;0.321699903;0.323216003;0.234286296;0.536490218;0.2929271;0.267764625;0.14762023;0.244733118;0.401807372;0.299188025;0.480672204;0.108769139;0.07501654;0.806407888;0.081530368;0.398646213;0.026144953;0.230468186;0.801382786;0.035246949;0.45166955;0.13070964;0.764232706;0.10040634;0.372135408;0.163903315;0.403055914;0.369335776;0.376443539;0.33325319;0.470168594;0.468829011;0.189756819;0.432663322;0.089473;0.635330473
01.01.;16;0.39528734;0.381954631;0.306790188;0.648079895;0.297547081;0.27242849;0.164261479;0.259655398;0.420723424;0.308522474;0.531224764;0.143129671;0.073529136;0.780578277;0.071169646;0.377858109;0.031393251;0.212966117;0.812923639;0.041742665;0.487768403;0.113040971;0.76778236;0.102870228;0.387141486;0.176071242;0.427443371;0.416125169;0.448774452;0.355648065;0.452225921;0.531225194;0.225407251;0.480765227;0.11010268;0.676373404
01.01.;17;0.471087942;0.432325469;0.419760614;0.722669429;0.306360667;0.295742013;0.196543814;0.255774666;0.426113938;0.330904472;0.556039898;0.1712424;0.072501375;0.768490428;0.078433403;0.377933157;0.037422981;0.181140265;0.81220104;0.055576921;0.524242287;0.11753967;0.774123799;0.121958734;0.390720166;0.198364489;0.439463078;0.45249423;0.506189113;0.374807731;0.423568946;0.582913094;0.278170624;0.525255643;0.132790587;0.689557056
01.01.;18;0.536498361;0.46694482;0.549900435;0.767681296;0.318311795;0.332262412;0.234949734;0.23748646;0.427869774;0.367534635;0.562650118;0.194213231;0.065459089;0.767790707;0.096700049;0.398877575;0.04062137;0.140866014;0.797905038;0.073845138;0.557317189;0.145726967;0.774415932;0.151228641;0.383699589;0.225726593;0.445044149;0.467823971;0.538916465;0.381355838;0.386237815;0.621157862;0.328957262;0.55943181;0.155209185;0.681419974
01.01.;19;0.574195846;0.482436679;0.655484841;0.791187527;0.319214713;0.380396503;0.262170322;0.215336182;0.429607435;0.400346868;0.556004645;0.212165145;0.056406837;0.771272034;0.115773303;0.417204276;0.042451763;0.106125504;0.773520189;0.091993732;0.590439511;0.184327109;0.763010137;0.183767382;0.368820916;0.249014396;0.455181584;0.465548962;0.555686188;0.370352399;0.342880043;0.647501216;0.362892012;0.586275151;0.179095811;0.662516314
01.01.;20;0.583254094;0.478818543;0.717701047;0.802829235;0.308898113;0.420571659;0.270996695;0.203101602;0.419785418;0.422465578;0.543875865;0.228945299;0.043514544;0.759668688;0.117507778;0.42786695;0.046204851;0.081474839;0.742067003;0.102130548;0.619629096;0.228083321;0.741540657;0.21000199;0.348726879;0.268218091;0.474300114;0.446743016;0.559645947;0.349006296;0.299198085;0.666778982;0.382730268;0.610023658;0.208771816;0.633925335
