Date;Hour;WS01;WS02;WS03;WS04;WS05;WS06;WS07;WS08;WS09;WS10;WS11;WS12;WS13;WS14;WS15;WS16;WS17;WS18;WS19;WS20;WS21;WS22;WS23;WS24;WS25;WS26;WS27;WS28;WS29;WS30;WS31;WS32;WS33;WS34;WS35;WS36
01.01.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;9;0.011182649;0.005571182;0.001786891;0.002246212;0.012136845;0.014522838;0.001743203;0.004449323;0.001043808;0.003149311;0.002164592;0.004130154;0.001995891;0.003808326;0.005064117;0.006925198;0.007127411;0.002652743;0.005608131;0.00835491;0.009053349;0.006130274;0.002483651;0.010935732;0.004887937;0.003002731;0.013854464;0.001671179;0.002685636;0.001982995;0.005635482;0.016560032;0.009737295;0.001470639;0.001810225;0.001781062
02.01.;10;0.088418784;0.070317686;0.018049253;0.02577227;0.065665987;0.105182084;0.047332645;0.05105171;0.011804218;0.045013533;0.022615596;0.060736274;0.020741915;0.028750139;0.039186811;0.072667275;0.067297273;0.041378568;0.061246182;0.075220621;0.047949574;0.06726865;0.024877643;0.090808902;0.037160277;0.028195891;0.06984482;0.02047647;0.035060009;0.031370835;0.050511483;0.131266287;0.11062612;0.018951187;0.01729211;0.035228416
02.01.;11;0.17930396;0.169542427;0.041957523;0.062648904;0.121688926;0.222262936;0.117545624;0.129524776;0.029045383;0.118586598;0.053468214;0.147217127;0.048296152;0.053778704;0.079663994;0.163189931;0.149931669;0.112262674;0.140636839;0.161376125;0.078696592;0.154289741;0.051747461;0.188518786;0.075392471;0.065563279;0.116861078;0.050333467;0.079754698;0.080032536;0.112485275;0.263351209;0.240054553;0.050360541;0.038959329;0.117033219
02.01.;12;0.245549635;0.248494941;0.061905026;0.095064149;0.160514379;0.315519965;0.17429716;0.203285589;0.04432935;0.184622223;0.079729481;0.217977434;0.070360338;0.065977152;0.108340234;0.234523125;0.21903076;0.178733795;0.203385491;0.22790138;0.091820567;0.226042247;0.068557239;0.26261777;0.101367432;0.097093424;0.145015616;0.076800105;0.113947406;0.122295294;0.163434331;0.357936721;0.336338663;0.081654768;0.055446683;0.206629362
02.01.;13;0.252741497;0.273566499;0.068379236;0.108498196;0.169572356;0.338096442;0.200893378;0.22724222;0.051388695;0.2207687;0.087182447;0.251258118;0.085879064;0.064223312;0.118564578;0.23715902;0.245837876;0.202388401;0.212684793;0.24701882;0.082716361;0.247265787;0.063759073;0.292093462;0.096312535;0.111545011;0.138903263;0.089892922;0.127921287;0.138711814;0.180707827;0.3760478;0.360592388;0.106488728;0.062949712;0.252866479
02.01.;14;0.215255728;0.252366162;0.0605567;0.10382458;0.147824313;0.302094074;0.191979435;0.209850547;0.048037733;0.221866923;0.076892949;0.237650273;0.085729426;0.048671252;0.104605999;0.19650548;0.229480479;0.186854172;0.18010301;0.219123505;0.057922558;0.22345123;0.045779358;0.269961383;0.072209069;0.104106587;0.110516605;0.084563982;0.115887905;0.127432477;0.163115933;0.329589418;0.318720047;0.113308384;0.057528856;0.253942866
02.01.;15;0.146717728;0.185517782;0.041747713;0.084573658;0.102474986;0.217848547;0.142738575;0.156786063;0.035867984;0.17385443;0.052743687;0.179205377;0.069826657;0.02698718;0.072884659;0.132696312;0.176621711;0.138780244;0.120167095;0.157985152;0.029674097;0.163503146;0.02384089;0.205120801;0.040524763;0.077071488;0.07465822;0.060471685;0.081693125;0.093899669;0.118766382;0.231265912;0.22139524;0.097823594;0.041165315;0.195281582
02.01.;16;0.068543014;0.075712783;0.015095561;0.038898051;0.045373592;0.100769319;0.054846172;0.078182118;0.014883662;0.074348785;0.020581129;0.077343854;0.028286447;0.008495796;0.029310971;0.055218184;0.079217165;0.053669952;0.043942652;0.07036698;0.01052898;0.073772746;0.007278303;0.09254715;0.015775595;0.033701796;0.036624276;0.022751914;0.034726528;0.046448302;0.057503131;0.102847099;0.088543707;0.056462774;0.021316721;0.089568479
02.01.;17;0.004003252;0.002678207;0.001482151;0.001883607;0.002957821;0.005368539;0.001096141;0.004507778;0.000848383;0.003324981;0.001925716;0.004450535;0.004072639;0.000927326;0.00435238;0.004149347;0.005623195;0.003870431;0.004004624;0.005065558;0.001819018;0.005246654;0.000453728;0.005372706;0.002580298;0.002396505;0.00403844;0.003889236;0.004057893;0.004296801;0.004281123;0.005659859;0.002860416;0.004680391;0.00354151;0.005555982
02.01.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
