x1;x2;Technology;x3;x4
7.405726132221381e7;6.93389104135373e7;CCGT;0.0;34.59395065671328
6.457797796766503e7;0.0;OCGT;0.0;7.925077854120772
6.798309035991232e7;0.0;SMR;0.0;1.8035332650864007
7.26033815015902e7;0.0;PtG;0.0;51.775565601385644
7.159781757406011e7;0.0;H2T;0.0;20.492452663582675
7.47291168896029e7;0.0;PV;0.0;266.9196090969933
7.438116273306589e7;0.0;ONWIND;0.0;129.06580283550815
6.836688174439229e7;0.0;OFFWIND;0.0;37.90382581340417
7.075143302010201e7;0.0;UHS;0.0;4696.744718081319
7.180975470535402e7;0.0;BESS_E;0.0;120.20763884828297
0.0;0.0;BESS_P;0.0;17.275568922613857
