x1;x2;Technology;x3;x4
7.75384655859738e7;7.507830132835335e7;CCGT;0.0;32.21302762452545
7.578623391806963e7;0.0;OCGT;0.0;17.125926438447955
7.53818586921116e7;0.0;SMR;0.0;0.11024072839436339
7.18926514944479e7;0.0;PtG;0.0;45.2513862947267
7.839255922452945e7;0.0;H2T;0.0;16.6265834096494
7.816223063860004e7;0.0;PV;0.0;243.20276748787097
7.133928322844622e7;0.0;ONWIND;0.0;130.17000411604607
7.337192216794966e7;0.0;OFFWIND;0.0;42.35399562943192
7.735153874001083e7;0.0;UHS;0.0;6463.365522101119
7.417914001041086e7;0.0;BESS_E;0.0;33.9755968067168
0.0;0.0;BESS_P;0.0;5.729381875098131
