x1;x2;Technology;x3;x4
7.656524970661269e7;7.431578518919033e7;CCGT;0.0;35.17731762989634
7.474666254301687e7;0.0;OCGT;0.0;12.88910289086111
7.437717200871082e7;0.0;SMR;0.0;0.6765681250275966
7.125784889102426e7;0.0;PtG;0.0;38.32329658347482
7.562316186310291e7;0.0;H2T;0.0;14.01797722236404
7.561256435470279e7;0.0;PV;0.0;259.40647249819864
7.830062384465675e7;0.0;ONWIND;0.0;146.4551535306096
7.563152738406478e7;0.0;OFFWIND;0.0;25.816369634332005
7.538833039649442e7;0.0;UHS;0.0;5169.6452980787535
7.254800114597842e7;0.0;BESS_E;0.0;128.11344336374896
0.0;0.0;BESS_P;0.0;17.468158175108442
