x1;x2;Technology;x3;x4
7.339303927708158e7;7.350145871930236e7;CCGT;0.0;36.04823162681601
7.545432277661386e7;0.0;OCGT;0.0;13.915184616614471
7.252578966209817e7;0.0;SMR;0.0;1.73317124231746
7.259644701991346e7;0.0;PtG;0.0;30.94213150737851
7.459554447726467e7;0.0;H2T;0.0;9.366731736443423
7.341146584501636e7;0.0;PV;0.0;275.5594713951631
7.25744894537447e7;0.0;ONWIND;0.0;126.96798430808894
7.461556799526472e7;0.0;OFFWIND;0.0;31.100395170558897
6.95704647285071e7;0.0;UHS;0.0;3744.896962666973
7.35831175360165e7;0.0;BESS_E;0.0;190.53734029676173
0.0;0.0;BESS_P;0.0;26.81427043580444
