x1;x2;Technology;x3;x4
6.939796014838019e7;6.829706784147444e7;CCGT;0.0;33.593078533675786
6.2026714082944e7;0.0;OCGT;0.0;6.281620617784313
7.028201297191678e7;0.0;SMR;0.0;0.2284017059340222
7.162117566425416e7;0.0;PtG;0.0;60.59259662450166
7.241531302488485e7;0.0;H2T;0.0;25.36328734070353
7.560850556810132e7;0.0;PV;0.0;282.6959188275284
7.225220257676916e7;0.0;ONWIND;0.0;151.69501214267564
6.86306471611115e7;0.0;OFFWIND;0.0;19.954850434488066
7.192185056904978e7;0.0;UHS;0.0;6059.029263973075
6.952357736515296e7;0.0;BESS_E;0.0;97.10023027823155
0.0;0.0;BESS_P;0.0;14.724614743468575
