x1;x2;Technology;x3;x4
7.415500265253316e7;7.31107497152177e7;CCGT;0.0;36.94109317903075
7.187679893369082e7;0.0;OCGT;0.0;14.913886928915154
7.593302299376237e7;0.0;SMR;0.0;3.7640300647985088
7.155575226725554e7;0.0;PtG;0.0;21.287026262018966
7.208782088746086e7;0.0;H2T;0.0;3.647981426101954
7.348147671942951e7;0.0;PV;0.0;301.7909576523976
6.829682526090428e7;0.0;ONWIND;0.0;120.87574637692686
6.998655689332002e7;0.0;OFFWIND;0.0;25.285131418173215
7.319791180129859e7;0.0;UHS;0.0;1225.1916737339577
7.52690965447104e7;0.0;BESS_E;0.0;283.1671909482393
0.0;0.0;BESS_P;0.0;39.42142675830549
