x1;x2;Technology;x3;x4
7.34672047184342e7;7.37911343406229e7;CCGT;0.0;37.70611532496371
7.335261647996336e7;0.0;OCGT;0.0;16.35805248892987
7.706539974345836e7;0.0;SMR;0.0;4.65995954790242
7.251493558873214e7;0.0;PtG;0.0;15.446599991619008
7.135035120801385e7;0.0;H2T;0.0;0.09437693949416148
7.314955276110776e7;0.0;PV;0.0;311.832640912019
7.419879434271726e7;0.0;ONWIND;0.0;118.51028998817768
7.274515343592834e7;0.0;OFFWIND;0.0;24.524898669018654
6.8010798689029e7;0.0;UHS;0.0;743.3455006507511
7.978025267037682e7;0.0;BESS_E;0.0;318.20754102357085
0.0;0.0;BESS_P;0.0;44.06870356788023
