x1;x2;Technology;x3;x4
6.884057665997559e7;7.231343157241285e7;CCGT;0.0;36.71443297628202
7.32158998097288e7;0.0;OCGT;0.0;13.62980265011123
7.25429239774492e7;0.0;SMR;0.0;3.292023413836885
7.143385307957728e7;0.0;PtG;0.0;25.832194939269257
7.182607829443666e7;0.0;H2T;0.0;7.1766362321310755
6.86882368333074e7;0.0;PV;0.0;297.4397221551258
7.44306580369374e7;0.0;ONWIND;0.0;121.01578608568191
6.870990292630741e7;0.0;OFFWIND;0.0;26.766999625768037
7.117787738794681e7;0.0;UHS;0.0;3018.680795210725
6.686469334631341e7;0.0;BESS_E;0.0;293.85988928493106
0.0;0.0;BESS_P;0.0;41.892961228649504
